PID,NAME,NAME TYPE,MISSION TYPE,MISSION TYPE PLUS,MISSION CATEGORY,SPACE,TIME,YEAR,MONTH,DAY,LAUNCH LOCATION,LAUNCH VEHICLE,CREWED,CELESTIAL BODIES,ORBIT,PROGRAM COST
gsfcirMisn:1315,Rumba,Alternate,spacecraft,NULL,NULL,NULL,NULL,2000,AUG,9,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1315,Cluster 1,Hidden,spacecraft,NULL,NULL,NULL,NULL,2000,AUG,9,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1315,FM5,Hidden,spacecraft,NULL,NULL,NULL,NULL,2000,AUG,9,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1316,Cluster 2/FM6,Preferred,spacecraft,NULL,NULL,NULL,NULL,2000,JUL,16,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1316,Salsa,Alternate,spacecraft,NULL,NULL,NULL,NULL,2000,JUL,16,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1316,Cluster 2,Hidden,spacecraft,NULL,NULL,NULL,NULL,2000,JUL,16,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1316,FM6,Hidden,spacecraft,NULL,NULL,NULL,NULL,2000,JUL,16,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1317,Cluster 2/FM7,Preferred,spacecraft,NULL,NULL,NULL,NULL,2000,JUL,16,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1317,Samba,Alternate,spacecraft,NULL,NULL,NULL,NULL,2000,JUL,16,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1317,Cluster 3,Hidden,spacecraft,NULL,NULL,NULL,NULL,2000,JUL,16,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1317,FM7,Hidden,spacecraft,NULL,NULL,NULL,NULL,2000,JUL,16,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1318,Cluster 2/FM8,Preferred,spacecraft,NULL,NULL,NULL,NULL,2000,AUG,9,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1318,Tango,Alternate,spacecraft,NULL,NULL,NULL,NULL,2000,AUG,9,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1318,Cluster 4,Hidden,spacecraft,NULL,NULL,NULL,NULL,2000,AUG,9,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1318,FM8,Hidden,spacecraft,NULL,NULL,NULL,NULL,2000,AUG,9,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
gsfcirMisn:1319,Cluster ESA/NASA Mission,Preferred,program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1319,Cluster,Alternate,program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1320,Cluster Ion Spectrometry,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1320,CIS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1321,Cluster96,Preferred,spacecraft,NULL,NULL,NULL,NULL,1996,JUN,4,"Kourou, French Guiana",Ariane 5,NULL,NULL,NULL,NULL
gsfcirMisn:1322,Coarsening in Solid-Liquid Mixtures Experiment,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1322,CSLM,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1323,Coastal Zone Color Scanner,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1323,CZCS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1324,COBE,Preferred,spacecraft,NULL,NULL,NULL,NULL,1989,NOV,18,Vandenberg Air Force Base,Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1324,Explorer 66,Alternate,spacecraft,NULL,NULL,NULL,NULL,1989,NOV,18,Vandenberg Air Force Base,Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1324,Cosmic Background Explorer,Hidden,spacecraft,NULL,NULL,NULL,NULL,1989,NOV,18,Vandenberg Air Force Base,Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1325,Coherent Electromagnetic Radio Tomography,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1325,CERTO,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1326,Cold Cathode Ion Gauge,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1327,Color and Stereo Surface Imaging System,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1327,CaSSIS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:3682,Combined Aerothermal Sensor Package,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:3682,COMARS+,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1328,Comet Nucleus Sounding Experiment by Radio Wave Transmission,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1328,CONSERT,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1329,Cometary and Interstellar Dust Analyzer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1330,Cometary Secondary Ion Mass Analyzer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1330,COSIMA,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
